case_index,method,quantity,value,printed,matches
0,PLS,trace_norm_error,1.8530879910366211,1.853,True
0,OMD_stat,trace_norm_error,1.5468474737124263,1.547,True
0,MW_line_search_identity,trace_norm_error,1.606038137362952,1.606,True
4,PLS,trace_norm_error,0.8744223362165918,0.874,True
4,OMD_stat,trace_norm_error,0.31760632717019616,0.318,True
4,MW_line_search_identity,trace_norm_error,0.45594107564424907,0.456,True
0,MW_line_search_identity,seconds,0.12059675600903574,0.121,True
4,MW_line_search_identity,seconds,28.50971922049939,28.510,True
9,PLS,seconds,0.6769154725043336,0.677,True
9,OMD_stat,seconds,32.69301429600455,32.693,True
9,MW_line_search_identity,seconds,60.05356174449844,60.054,True
9,PLS,trace_norm_error,1.6237780670380897,1.624,True
9,OMD_stat,trace_norm_error,0.6015657635147769,0.602,True
9,MW_line_search_identity,trace_norm_error,0.8234044026575432,0.823,True
9,PLS,median_MiB,206.16796875,206.2,True
9,OMD_stat,median_MiB,500.673828125,500.7,True
9,MW_line_search_identity,median_MiB,344.439453125,344.4,True
6,PLS,global_seconds,0.02240453055128455,0.0224,True
6,OMD,global_seconds,0.022565448482055217,0.0226,True
6,MW-PLS,global_seconds,0.02204999257810414,0.0220,True
